show_no,focus_day,ring_no,ring_name,ring_day_no,class_no,event_name,entry_order,entry_no,horse,rider,trainer,order_status
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,41,2566,Tough Enough,Spencer Brittan,Spencer Brittan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,42,2157,Streya,Jacqueline Steffens Daly,Jacqueline Steffens Daly,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,43,1574,Valdes,Antonio J. Martinez,Antonio J. Martinez,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,44,2864,Dominator Touch Z,Kalli Core,Bobby Boulger,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,45,2027,Lagegonda Fz,Clark Montgomery,Clark Montgomery,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,46,1837,Os Quincy,Rebecca Warth,Rebecca Warth,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,47,1649,Chacoons Gisa Blue Z,Kyle Dewar,Kyle Dewar,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,48,3008,Mon-Ami,Debbie L. Mccarthy-Connor,Debbie L. Mccarthy-Connor,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,49,2955,Cameron 38,Jamie M. Stryker,Kirk Webby,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,50,1182,Lupina Colada,Wilton J. Porter,Wilton J. Porter,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,51,2874,Dropshot Z,Jordan Petersen,Jared P. Petersen,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,52,1086,It Is West,Rebecca Conway,Conan Conway,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,53,1035,Ideal,Grace Lyons,Alan Korotkin,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,54,2292,Icarus,Declan Egan,Declan Egan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,55,2879,Mick Jagger,Sharn L. Wordley,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,56,1709,Headleys Kinetic,Anne L. Bingler,Anne L. Bingler,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,57,1044,Peridoni 20,Elisabeth Rotsaert,Alan Korotkin,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,58,1996,Thor Jr,Ali Arbabi,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,59,1038,Kindly,Tanner Korotkin,Alan Korotkin,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,60,1742,Mason,Aidan Murphy,Candice King,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,61,1223,Ledoux,Megan Wexler,Megan Wexler,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,62,1684,Gelano,Jessica Collins,Jessica Collins,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,63,1481,Limerick,Taylor Manning,Taylor Manning,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,64,1567,Octavius Scf,Antonio J. Martinez,Antonio J. Martinez,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,65,1066,Lufrieda Vdl,Clara Vidal,Daniela Roy,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,66,1037,Insider Bh,Victoria Rotsaert,Alan Korotkin,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,67,2132,Goliath,Addison Reed,Addison Reed,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,68,2953,Ivanhoe,Elizabeth Schumann,Brian Murphy,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,69,2931,Bellissima Dh Z,Jelmer Hoekstra,Jelmer Hoekstra,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,70,2394,Bambina,Elin Mossberg,Patrick R. Wilcher,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29172,692) $250 1.30m Young Jumper II.1,1,2135,Orisco,Addison Reed,Addison Reed,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29172,692) $250 1.30m Young Jumper II.1,2,1246,Redbull 33 Vdh,Brittni A. Raflowitz,Brittni A. Raflowitz,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29172,692) $250 1.30m Young Jumper II.1,3,2199,Tobias Van Kreyel Mc,Lauren Balcomb,Sharn L. Wordley,Class Ordered By: Custom
