class_oog_key,ring,ring_no,ring_day_no,class_order,class_no,class_label,class_number,class_payout,class_name,entry_order,entry_no,horse,rider,trainer,source_endpoint,source_payload
29134|2879,,670,,,29134,,,,,55,2879,Mick Jagger,Sharn L. Wordley,Sharn L. Wordley,class_oog.php,
29134|1709,,670,,,29134,,,,,56,1709,Headleys Kinetic,Anne L. Bingler,Anne L. Bingler,class_oog.php,
29134|1044,,670,,,29134,,,,,57,1044,Peridoni 20,Elisabeth Rotsaert,Alan Korotkin,class_oog.php,
29134|1996,,670,,,29134,,,,,58,1996,Thor Jr,Ali Arbabi,Sharn L. Wordley,class_oog.php,
29134|1038,,670,,,29134,,,,,59,1038,Kindly,Tanner Korotkin,Alan Korotkin,class_oog.php,
29134|1742,,670,,,29134,,,,,60,1742,Mason,Aidan Murphy,Candice King,class_oog.php,
29134|1223,,670,,,29134,,,,,61,1223,Ledoux,Megan Wexler,Megan Wexler,class_oog.php,
29134|1684,,670,,,29134,,,,,62,1684,Gelano,Jessica Collins,Jessica Collins,class_oog.php,
29134|1481,,670,,,29134,,,,,63,1481,Limerick,Taylor Manning,Taylor Manning,class_oog.php,
29134|1567,,670,,,29134,,,,,64,1567,Octavius Scf,Antonio J. Martinez,Antonio J. Martinez,class_oog.php,
29134|1066,,670,,,29134,,,,,65,1066,Lufrieda Vdl,Clara Vidal,Daniela Roy,class_oog.php,
29134|1037,,670,,,29134,,,,,66,1037,Insider Bh,Victoria Rotsaert,Alan Korotkin,class_oog.php,
29134|2132,,670,,,29134,,,,,67,2132,Goliath,Addison Reed,Addison Reed,class_oog.php,
29134|2953,,670,,,29134,,,,,68,2953,Ivanhoe,Elizabeth Schumann,Brian Murphy,class_oog.php,
29134|2931,,670,,,29134,,,,,69,2931,Bellissima Dh Z,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php,
29134|2394,,670,,,29134,,,,,70,2394,Bambina,Elin Mossberg,Patrick R. Wilcher,class_oog.php,
29172|2135,,670,,,29172,,,,,1,2135,Orisco,Addison Reed,Addison Reed,class_oog.php,
29172|1246,,670,,,29172,,,,,2,1246,Redbull 33 Vdh,Brittni A. Raflowitz,Brittni A. Raflowitz,class_oog.php,
29172|2199,,670,,,29172,,,,,3,2199,Tobias Van Kreyel Mc,Lauren Balcomb,Sharn L. Wordley,class_oog.php,
29172|1334,,670,,,29172,,,,,4,1334,Classical Touch,Juan M. Bolanos,Juan M. Bolanos,class_oog.php,
29172|3046,,670,,,29172,,,,,5,3046,Dolittle 32,Bruno Diniz Das Neves,Bruno Diniz Das Neves,class_oog.php,
29172|1462,,670,,,29172,,,,,6,1462,Pavarotti Van De Schutskooi,Cormac Hanley,Thea N. Stinnett,class_oog.php,
29172|2463,,670,,,29172,,,,,7,2463,Eq Scorpio,Diego Farje,Sharn L. Wordley,class_oog.php,
29172|1831,,670,,,29172,,,,,8,1831,Umtiti Van De Barlebuis,Lia Screnci,Lia Screnci,class_oog.php,
29172|2635,,670,,,29172,,,,,9,2635,Tugano Van Klapscheut,Addison Reed,Raishun Burch,class_oog.php,
29172|2713,,670,,,29172,,,,,10,2713,Superman Eh,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php,
29172|1787,,670,,,29172,,,,,11,1787,Tarantino De Rie,Robert Mendoza,Hanna Pieri,class_oog.php,
29172|1449,,670,,,29172,,,,,12,1449,Curacao D'elsendam Z,Taylor St Jacques,Taylor St Jacques,class_oog.php,
29172|2204,,670,,,29172,,,,,13,2204,5o1 Stakkatol's Dream,Jacob Fletcher,Jacob Fletcher,class_oog.php,
29172|1923,,670,,,29172,,,,,14,1923,Olaf,Selcuk Koksalan,Selcuk Koksalan,class_oog.php,
29172|1327,,670,,,29172,,,,,15,1327,Online,Clark Montgomery,Clark Montgomery,class_oog.php,
29172|1993,,670,,,29172,,,,,16,1993,Copperfield Ghv Z,Molly Frei,Sven Frei,class_oog.php,
29172|2133,,670,,,29172,,,,,17,2133,O'Malley Rfb,Addison Reed,Addison Reed,class_oog.php,
29172|2320,,670,,,29172,,,,,18,2320,Mtm Good Question,Tracy Fenney,Michael J. Mccormick,class_oog.php,
29172|1296,,670,,,29172,,,,,19,1296,Calou Us,Tanner Korotkin,Alan Korotkin,class_oog.php,
29172|2197,,670,,,29172,,,,,20,2197,King William,Sharn L. Wordley,Sharn L. Wordley,class_oog.php,
29172|2568,,670,,,29172,,,,,21,2568,Nasia’s Girl Keros,Hanna R. Egan,Hanna R. Egan,class_oog.php,
29172|2881,,670,,,29172,,,,,22,2881,Don Cor Z,Ryan Michael Genn,Ryan Michael Genn,class_oog.php,
29172|1342,,670,,,29172,,,,,23,1342,Only Love B,Juan M. Bolanos,Juan M. Bolanos,class_oog.php,
29172|1860,,670,,,29172,,,,,24,1860,Crusader,Marcus Gruenthal,Marcus Gruenthal,class_oog.php,
29172|1782,,670,,,29172,,,,,25,1782,Cash For Roses,Bruno Diniz Das Neves,Bruno Diniz Das Neves,class_oog.php,
29172|2796,,670,,,29172,,,,,26,2796,Santa Rosa Fiona,Priscilla Broger,Priscilla Broger,class_oog.php,
29172|2134,,670,,,29172,,,,,27,2134,O-Toulon K,Addison Reed,Addison Reed,class_oog.php,
29164|1025,,684,,,29164,,,,,1,1025,Dodicci,Tanner Korotkin,Alan Korotkin,class_oog.php,
29164|1042,,684,,,29164,,,,,2,1042,Maiki,Tanner Korotkin,Alan Korotkin,class_oog.php,
29164|1045,,684,,,29164,,,,,3,1045,Qastaar Van't Heike,Tanner Korotkin,Alan Korotkin,class_oog.php,
29164|1064,,684,,,29164,,,,,4,1064,Locinthe Vdl,Clara Vidal,Daniela Roy,class_oog.php,
29164|1067,,684,,,29164,,,,,5,1067,Noah,Clara Vidal,Daniela Roy,class_oog.php,
29164|1085,,684,,,29164,,,,,6,1085,Conthargos Gold,Rebecca Conway,Conan Conway,class_oog.php,
29164|1108,,684,,,29164,,,,,7,1108,Cali Blue Ps,Jessica Cross,Jessica Cross,class_oog.php,
29164|1109,,684,,,29164,,,,,8,1109,Odilon,Soleil Katsur,Jessica Cross,class_oog.php,
29164|1224,,684,,,29164,,,,,9,1224,Lord Cornet,Megan Wexler,Megan Wexler,class_oog.php,
29164|1241,,684,,,29164,,,,,10,1241,Balou Blue Z,Brittni A. Raflowitz,Brittni A. Raflowitz,class_oog.php,
29164|1346,,684,,,29164,,,,,11,1346,Britney Ps,Cullen Drescher,Derek Reed,class_oog.php,
29164|1347,,684,,,29164,,,,,12,1347,Oscars Afterparty,Cullen Drescher,Derek Reed,class_oog.php,
29164|1425,,684,,,29164,,,,,13,1425,Categorico Ec Z,Devin A. Seek,Stefano Baruzzo,class_oog.php,
29164|1519,,684,,,29164,,,,,14,1519,Mtm Clarcona,Anna Mead,Stephen Dicarlo,class_oog.php,
29164|1563,,684,,,29164,,,,,15,1563,Herlich,Bowers A. Cone,Stephen Dicarlo,class_oog.php,
29164|1595,,684,,,29164,,,,,16,1595,Levano,Sarah E. Turner,Ben Taylor,class_oog.php,
29164|1679,,684,,,29164,,,,,17,1679,Tarzan Z,Ana Cristina Rodriguez,Juan A. Rodriguez Silva,class_oog.php,
29164|1682,,684,,,29164,,,,,18,1682,Allegra Van Het Eikenhof Z,Aria Collins,Jessica Collins,class_oog.php,
29164|1744,,684,,,29164,,,,,19,1744,Diatoon Blue Ps,Madison Rose,Madison Rose,class_oog.php,
29164|1767,,684,,,29164,,,,,20,1767,Gotham De Chalusse,Robert Mendoza,Robert Mendoza,class_oog.php,
29164|1877,,684,,,29164,,,,,21,1877,Daham,Jelmer Hoekstra,Tara G. Bostwick,class_oog.php,
29164|1878,,684,,,29164,,,,,22,1878,Futur Du Pomiez,Jelmer Hoekstra,Tara G. Bostwick,class_oog.php,
29164|2003,,684,,,29164,,,,,23,2003,Ancelotti,Ashley Romano,Ashley Romano,class_oog.php,
29164|2037,,684,,,29164,,,,,24,2037,Fernhill Touch Of Grandeur,Kendall Stephens,Maya Denis,class_oog.php,
29164|2078,,684,,,29164,,,,,25,2078,Lissino,Khloe Kerins,Darragh Kerins,class_oog.php,
29164|2108,,684,,,29164,,,,,26,2108,Spice Of Life,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29164|2172,,684,,,29164,,,,,27,2172,Castell 21,Amanda Gardiner,Megan Gardiner,class_oog.php,
29164|2173,,684,,,29164,,,,,28,2173,Danilo Khr,Megan Gardiner,Megan Gardiner,class_oog.php,
29164|2291,,684,,,29164,,,,,29,2291,Fleurescent,Declan Egan,Declan Egan,class_oog.php,
29164|2351,,684,,,29164,,,,,30,2351,Otto Pilot,Jeannie M. Savegnago,Lauren Schweppe,class_oog.php,
29164|2365,,684,,,29164,,,,,31,2365,Qiana,Marcus Gruenthal,Marcus Gruenthal,class_oog.php,
29164|2573,,684,,,29164,,,,,32,2573,Ballyforan,Patrick R. Wilcher,Patrick R. Wilcher,class_oog.php,
29164|2602,,684,,,29164,,,,,33,2602,Fabian,Bonnie Silver,Annalee Bennett,class_oog.php,
29164|2702,,684,,,29164,,,,,34,2702,For Jens Z,Patrick R. Wilcher,Dana G. Waters,class_oog.php,
29164|2709,,684,,,29164,,,,,35,2709,Cfh Ricardo Two You,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php,
29164|2733,,684,,,29164,,,,,36,2733,Balisto,Maya Denis,Joachim Englert,class_oog.php,
29164|2821,,684,,,29164,,,,,37,2821,Arianna Rv,John M. Struzzieri,Ryan Michael Genn,class_oog.php,
29164|2822,,684,,,29164,,,,,38,2822,Chabluevara Ps,Ryan Michael Genn,Ryan Michael Genn,class_oog.php,
29164|2823,,684,,,29164,,,,,39,2823,Conlando 55,John M. Struzzieri,Ryan Michael Genn,class_oog.php,
29164|2824,,684,,,29164,,,,,40,2824,Dame Bruchetta Z,Kitt Ritter,Ryan Michael Genn,class_oog.php,
29164|2832,,684,,,29164,,,,,41,2832,Lindy Hop,Clark Montgomery,Clark Montgomery,class_oog.php,
29164|2933,,684,,,29164,,,,,42,2933,Iron Rock,Dorothy Douglas,Jelmer Hoekstra,class_oog.php,
29164|2935,,684,,,29164,,,,,43,2935,Paseana,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php,
29164|2965,,684,,,29164,,,,,44,2965,Kurano Sp Z,Brooklyn Castellano,Brooklyn Castellano,class_oog.php,
29164|3001,,684,,,29164,,,,,45,3001,Kilenka Gl,Alyssa Amberge,Alyssa Amberge,class_oog.php,
29128|1025,,684,,,29128,,,,,1,1025,Dodicci,Carsyn Korotkin,Alan Korotkin,class_oog.php,
