class_no,class_number,class_payout,class_name,class_label,source
29008,233,,$300 Adult Hunter 55+ 3',233) $300 Adult Hunter 55+ 3',counts.php
29009,234,,$200 Adult Hunter 55+ U/S 3',234) $200 Adult Hunter 55+ U/S 3',counts.php
29010,235,,Thoroughbred Hunter 3',235) Thoroughbred Hunter 3',counts.php
29011,236,,Thoroughbred Hunter 3',236) Thoroughbred Hunter 3',counts.php
29012,237,,Thoroughbred Hunter 3',237) Thoroughbred Hunter 3',counts.php
29013,238,,Thoroughbred Hunter 3',238) Thoroughbred Hunter 3',counts.php
29014,239,,Thoroughbred Hunter U/S,239) Thoroughbred Hunter U/S,counts.php
29071,245,,"USHJA Hunter 3'3""","245) USHJA Hunter 3'3""",counts.php
29072,246,,"USHJA Hunter 3'3""","246) USHJA Hunter 3'3""",counts.php
29074,247,,"USHJA Hunter 3'3""","247) USHJA Hunter 3'3""",counts.php
29075,248,,"USHJA Hunter 3'3""","248) USHJA Hunter 3'3""",counts.php
29076,249,,"USHJA Hunter 3'3"" U/S","249) USHJA Hunter 3'3"" U/S",counts.php
29041,250,,Future Hunter 2',250) Future Hunter 2',counts.php
29042,251,,Future Hunter 2',251) Future Hunter 2',counts.php
29043,252,,Future Hunter 2',252) Future Hunter 2',counts.php
29044,253,,Future Hunter 2',253) Future Hunter 2',counts.php
29045,254,,Future Hunter 2' U/S,254) Future Hunter 2' U/S,counts.php
29051,255,,USHJA Hunter 2',255) USHJA Hunter 2',counts.php
29052,256,,USHJA Hunter 2',256) USHJA Hunter 2',counts.php
29053,257,,USHJA Hunter 2',257) USHJA Hunter 2',counts.php
29054,258,,USHJA Hunter 2',258) USHJA Hunter 2',counts.php
29055,259,,USHJA Hunter 2 U/S,259) USHJA Hunter 2 U/S,counts.php
29056,260,,"USHJA Hunter 2'3""","260) USHJA Hunter 2'3""",counts.php
29057,261,,"USHJA Hunter 2'3""","261) USHJA Hunter 2'3""",counts.php
29058,262,,"USHJA Hunter 2'3""","262) USHJA Hunter 2'3""",counts.php
